Nr;Start;Ziel;Volumen;Hub1;Hub2
1;b_46;b_13;1;;
2;b_21;b_30;1;;
3;b_3;b_15;1;;
4;b_37;b_41;1;;
5;b_31;b_2;1;;
6;b_6;b_4;1;;
7;b_18;b_10;1;;
8;b_6;b_13;1;;
9;b_36;b_48;1;;
10;b_16;b_36;1;;
11;b_15;b_40;1;;
12;b_31;b_14;1;;
13;b_1;b_25;1;;
14;b_22;b_25;1;;
15;b_42;b_27;1;;
16;b_42;b_20;1;;
17;b_18;b_44;1;;
18;b_5;b_2;1;;
19;b_13;b_30;1;;
20;b_40;b_31;1;;
21;b_42;b_39;1;;
22;b_47;b_41;1;;
23;b_39;b_17;1;;
24;b_42;b_43;1;;
25;b_28;b_40;1;;
26;b_15;b_14;1;;
27;b_25;b_38;1;;
28;b_4;b_8;1;;
29;b_23;b_18;1;;
30;b_10;b_46;1;;
31;b_11;b_15;1;;
32;b_47;b_2;1;;
33;b_20;b_11;1;;
34;b_30;b_27;1;;
35;b_5;b_41;1;;
36;b_16;b_10;1;;
37;b_23;b_42;1;;
38;b_37;b_6;1;;
39;b_45;b_46;1;;
40;b_12;b_19;1;;
41;b_30;b_16;1;;
42;b_46;b_8;1;;
43;b_44;b_27;1;;
44;b_3;b_14;1;;
45;b_27;b_31;1;;
46;b_32;b_33;1;;
47;b_26;b_36;1;;
48;b_35;b_7;1;;
49;b_2;b_42;1;;
50;b_38;b_9;1;;
51;b_42;b_24;1;;
52;b_35;b_30;1;;
53;b_14;b_2;1;;
54;b_35;b_2;1;;
55;b_27;b_6;1;;
56;b_21;b_25;1;;
57;b_43;b_25;1;;
58;b_27;b_37;1;;
59;b_8;b_17;1;;
60;b_46;b_9;1;;
61;b_22;b_7;1;;
62;b_40;b_3;1;;
63;b_14;b_24;1;;
64;b_8;b_32;1;;
65;b_14;b_18;1;;
66;b_0;b_18;1;;
67;b_18;b_11;1;;
68;b_2;b_48;1;;
69;b_7;b_9;1;;
70;b_37;b_30;1;;
71;b_23;b_25;1;;
72;b_18;b_22;1;;
73;b_9;b_29;1;;
74;b_26;b_16;1;;
75;b_14;b_16;1;;
76;b_8;b_15;1;;
77;b_36;b_40;1;;
78;b_23;b_27;1;;
79;b_30;b_10;1;;
80;b_18;b_43;1;;
81;b_48;b_2;1;;
82;b_0;b_36;1;;
83;b_19;b_6;1;;
84;b_48;b_43;1;;
85;b_28;b_29;1;;
86;b_30;b_39;1;;
87;b_5;b_20;1;;
88;b_6;b_5;1;;
89;b_26;b_38;1;;
90;b_13;b_1;1;;
91;b_6;b_41;1;;
92;b_24;b_40;1;;
93;b_14;b_29;1;;
94;b_31;b_19;1;;
95;b_31;b_16;1;;
96;b_36;b_3;1;;
97;b_24;b_11;1;;
98;b_11;b_44;1;;
99;b_29;b_9;1;;
100;b_14;b_30;1;;
101;b_21;b_8;1;;
102;b_45;b_16;1;;
103;b_33;b_24;1;;
104;b_29;b_8;1;;
105;b_38;b_41;1;;
106;b_15;b_41;1;;
107;b_44;b_2;1;;
108;b_23;b_34;1;;
109;b_7;b_6;1;;
110;b_9;b_42;1;;
111;b_6;b_35;1;;
112;b_39;b_15;1;;
113;b_17;b_20;1;;
114;b_41;b_8;1;;
115;b_49;b_38;1;;
116;b_21;b_27;1;;
117;b_35;b_38;1;;
118;b_39;b_22;1;;
119;b_4;b_39;1;;
120;b_49;b_16;1;;
121;b_40;b_12;1;;
122;b_25;b_40;1;;
123;b_34;b_37;1;;
124;b_9;b_21;1;;
125;b_14;b_44;1;;
126;b_20;b_41;1;;
127;b_21;b_44;1;;
128;b_43;b_5;1;;
129;b_10;b_41;1;;
130;b_3;b_32;1;;
131;b_15;b_23;1;;
132;b_44;b_35;1;;
133;b_16;b_1;1;;
134;b_27;b_42;1;;
135;b_46;b_17;1;;
136;b_24;b_38;1;;
137;b_39;b_0;1;;
138;b_34;b_8;1;;
139;b_44;b_0;1;;
140;b_38;b_20;1;;
141;b_47;b_48;1;;
142;b_33;b_5;1;;
143;b_20;b_5;1;;
144;b_41;b_1;1;;
145;b_26;b_33;1;;
146;b_7;b_43;1;;
147;b_26;b_48;1;;
148;b_31;b_29;1;;
149;b_2;b_10;1;;
150;b_6;b_20;1;;
151;b_41;b_21;1;;
152;b_24;b_2;1;;
153;b_15;b_34;1;;
154;b_28;b_3;1;;
155;b_7;b_8;1;;
156;b_0;b_6;1;;
157;b_7;b_46;1;;
158;b_47;b_27;1;;
159;b_8;b_2;1;;
160;b_19;b_49;1;;
161;b_11;b_42;1;;
162;b_24;b_42;1;;
163;b_37;b_3;1;;
164;b_32;b_25;1;;
165;b_18;b_12;1;;
166;b_44;b_6;1;;
167;b_44;b_34;1;;
168;b_30;b_21;1;;
169;b_44;b_26;1;;
170;b_37;b_22;1;;
171;b_6;b_22;1;;
172;b_22;b_15;1;;
173;b_13;b_12;1;;
174;b_48;b_29;1;;
175;b_1;b_11;1;;
176;b_47;b_42;1;;
177;b_37;b_34;1;;
178;b_24;b_31;1;;
179;b_12;b_27;1;;
180;b_23;b_36;1;;
181;b_4;b_44;1;;
182;b_14;b_22;1;;
183;b_33;b_16;1;;
184;b_27;b_33;1;;
185;b_9;b_20;1;;
186;b_49;b_17;1;;
187;b_35;b_15;1;;
188;b_19;b_33;1;;
189;b_19;b_47;1;;
190;b_35;b_32;1;;
191;b_42;b_28;1;;
192;b_24;b_15;1;;
193;b_45;b_12;1;;
194;b_6;b_14;1;;
195;b_0;b_44;1;;
196;b_26;b_31;1;;
197;b_40;b_4;1;;
198;b_17;b_47;1;;
199;b_11;b_40;1;;
200;b_36;b_15;1;;
201;b_27;b_28;1;;
202;b_47;b_37;1;;
203;b_15;b_17;1;;
204;b_11;b_21;1;;
205;b_2;b_39;1;;
206;b_45;b_21;1;;
207;b_18;b_25;1;;
208;b_8;b_18;1;;
209;b_32;b_29;1;;
210;b_40;b_27;1;;
211;b_22;b_37;1;;
212;b_48;b_40;1;;
213;b_6;b_9;1;;
214;b_16;b_5;1;;
215;b_24;b_10;1;;
216;b_11;b_20;1;;
217;b_43;b_33;1;;
218;b_4;b_35;1;;
219;b_29;b_3;1;;
220;b_21;b_34;1;;
221;b_22;b_20;1;;
222;b_42;b_30;1;;
223;b_32;b_48;1;;
224;b_36;b_46;1;;
225;b_26;b_21;1;;
226;b_32;b_10;1;;
227;b_12;b_17;1;;
228;b_35;b_27;1;;
229;b_5;b_29;1;;
230;b_16;b_19;1;;
231;b_42;b_11;1;;
232;b_3;b_13;1;;
233;b_9;b_31;1;;
234;b_11;b_48;1;;
235;b_25;b_49;1;;
236;b_3;b_12;1;;
237;b_35;b_37;1;;
238;b_2;b_17;1;;
239;b_10;b_22;1;;
240;b_42;b_18;1;;
241;b_14;b_38;1;;
242;b_28;b_6;1;;
243;b_6;b_21;1;;
244;b_3;b_17;1;;
245;b_46;b_34;1;;
246;b_16;b_43;1;;
247;b_9;b_23;1;;
248;b_31;b_5;1;;
249;b_19;b_45;1;;
250;b_35;b_24;1;;
251;b_5;b_37;1;;
252;b_27;b_3;1;;
253;b_0;b_2;1;;
254;b_9;b_25;1;;
255;b_11;b_16;1;;
256;b_30;b_35;1;;
257;b_25;b_32;1;;
258;b_34;b_20;1;;
259;b_42;b_12;1;;
260;b_7;b_37;1;;
261;b_27;b_39;1;;
262;b_26;b_18;1;;
263;b_22;b_17;1;;
264;b_13;b_47;1;;
265;b_7;b_18;1;;
266;b_36;b_22;1;;
267;b_9;b_28;1;;
268;b_49;b_28;1;;
269;b_11;b_23;1;;
270;b_4;b_13;1;;
271;b_2;b_31;1;;
272;b_33;b_2;1;;
273;b_20;b_45;1;;
274;b_31;b_27;1;;
275;b_42;b_13;1;;
276;b_7;b_33;1;;
277;b_45;b_35;1;;
278;b_11;b_45;1;;
279;b_7;b_27;1;;
280;b_0;b_39;1;;
281;b_29;b_32;1;;
282;b_16;b_27;1;;
283;b_32;b_8;1;;
284;b_16;b_34;1;;
285;b_16;b_20;1;;
286;b_10;b_12;1;;
287;b_8;b_40;1;;
288;b_19;b_4;1;;
289;b_33;b_39;1;;
290;b_12;b_13;1;;
291;b_43;b_23;1;;
292;b_6;b_37;1;;
293;b_44;b_5;1;;
294;b_45;b_15;1;;
295;b_13;b_43;1;;
296;b_49;b_0;1;;
297;b_13;b_14;1;;
298;b_31;b_42;1;;
299;b_48;b_33;1;;
300;b_8;b_23;1;;
301;b_28;b_19;1;;
302;b_9;b_10;1;;
303;b_18;b_1;1;;
304;b_4;b_5;1;;
305;b_44;b_25;1;;
306;b_16;b_0;1;;
307;b_38;b_1;1;;
308;b_33;b_15;1;;
309;b_3;b_38;1;;
310;b_49;b_20;1;;
