Nr;Start;Ziel;Volumen;Hub1;Hub2
1;b_33;b_21;1;;
2;b_24;b_16;1;;
3;b_4;b_16;1;;
4;b_46;b_34;1;;
5;b_40;b_9;1;;
6;b_49;b_32;1;;
7;b_4;b_29;1;;
8;b_6;b_21;1;;
9;b_23;b_19;1;;
10;b_14;b_36;1;;
11;b_28;b_45;1;;
12;b_35;b_24;1;;
13;b_6;b_30;1;;
14;b_39;b_17;1;;
15;b_47;b_15;1;;
16;b_34;b_37;1;;
17;b_41;b_43;1;;
18;b_7;b_4;1;;
19;b_27;b_43;1;;
20;b_8;b_36;1;;
21;b_22;b_12;1;;
22;b_45;b_44;1;;
23;b_8;b_33;1;;
24;b_1;b_20;1;;
25;b_48;b_41;1;;
26;b_5;b_30;1;;
27;b_23;b_49;1;;
28;b_40;b_26;1;;
29;b_12;b_31;1;;
30;b_7;b_12;1;;
31;b_20;b_12;1;;
32;b_37;b_44;1;;
33;b_49;b_17;1;;
34;b_14;b_35;1;;
35;b_5;b_26;1;;
36;b_37;b_34;1;;
37;b_41;b_3;1;;
38;b_48;b_47;1;;
39;b_11;b_20;1;;
40;b_36;b_2;1;;
41;b_25;b_37;1;;
42;b_0;b_44;1;;
43;b_43;b_17;1;;
44;b_25;b_30;1;;
45;b_46;b_26;1;;
46;b_48;b_39;1;;
47;b_41;b_18;1;;
48;b_15;b_33;1;;
49;b_36;b_31;1;;
50;b_45;b_32;1;;
51;b_9;b_39;1;;
52;b_13;b_38;1;;
53;b_38;b_29;1;;
54;b_22;b_6;1;;
55;b_49;b_5;1;;
56;b_16;b_4;1;;
57;b_16;b_8;1;;
58;b_7;b_38;1;;
59;b_38;b_27;1;;
60;b_11;b_38;1;;
61;b_5;b_9;1;;
62;b_5;b_47;1;;
63;b_10;b_32;1;;
64;b_24;b_42;1;;
65;b_7;b_6;1;;
66;b_40;b_10;1;;
67;b_41;b_35;1;;
68;b_39;b_10;1;;
69;b_48;b_7;1;;
70;b_24;b_20;1;;
71;b_14;b_47;1;;
72;b_24;b_6;1;;
73;b_44;b_20;1;;
74;b_29;b_10;1;;
75;b_49;b_30;1;;
76;b_19;b_11;1;;
77;b_11;b_36;1;;
78;b_38;b_39;1;;
79;b_0;b_25;1;;
80;b_24;b_10;1;;
81;b_0;b_49;1;;
82;b_9;b_29;1;;
83;b_30;b_24;1;;
84;b_26;b_5;1;;
85;b_4;b_37;1;;
86;b_8;b_7;1;;
87;b_36;b_23;1;;
88;b_1;b_2;1;;
89;b_41;b_44;1;;
90;b_8;b_13;1;;
91;b_21;b_33;1;;
92;b_1;b_31;1;;
93;b_39;b_35;1;;
94;b_5;b_22;1;;
95;b_9;b_36;1;;
96;b_6;b_49;1;;
97;b_35;b_46;1;;
98;b_48;b_19;1;;
99;b_28;b_29;1;;
100;b_39;b_24;1;;
101;b_37;b_40;1;;
102;b_16;b_31;1;;
103;b_38;b_43;1;;
104;b_39;b_14;1;;
105;b_23;b_44;1;;
106;b_1;b_49;1;;
107;b_38;b_47;1;;
108;b_39;b_1;1;;
109;b_29;b_6;1;;
110;b_43;b_42;1;;
111;b_35;b_39;1;;
112;b_44;b_8;1;;
113;b_20;b_17;1;;
114;b_37;b_41;1;;
115;b_21;b_24;1;;
116;b_38;b_36;1;;
117;b_35;b_11;1;;
118;b_48;b_10;1;;
119;b_17;b_16;1;;
120;b_41;b_24;1;;
121;b_28;b_18;1;;
122;b_6;b_3;1;;
123;b_14;b_24;1;;
124;b_26;b_22;1;;
125;b_33;b_34;1;;
126;b_22;b_21;1;;
127;b_13;b_22;1;;
128;b_27;b_11;1;;
129;b_9;b_45;1;;
130;b_31;b_8;1;;
131;b_20;b_47;1;;
132;b_46;b_47;1;;
133;b_33;b_46;1;;
134;b_29;b_34;1;;
135;b_41;b_1;1;;
136;b_25;b_38;1;;
137;b_10;b_49;1;;
138;b_38;b_46;1;;
139;b_39;b_7;1;;
140;b_29;b_5;1;;
141;b_26;b_36;1;;
142;b_39;b_21;1;;
143;b_32;b_30;1;;
144;b_40;b_49;1;;
145;b_4;b_30;1;;
146;b_37;b_47;1;;
147;b_2;b_49;1;;
148;b_38;b_12;1;;
149;b_4;b_45;1;;
150;b_29;b_36;1;;
151;b_13;b_34;1;;
152;b_7;b_37;1;;
153;b_48;b_40;1;;
154;b_1;b_24;1;;
155;b_0;b_9;1;;
156;b_29;b_4;1;;
157;b_8;b_41;1;;
158;b_32;b_20;1;;
159;b_28;b_17;1;;
160;b_25;b_44;1;;
161;b_8;b_47;1;;
162;b_4;b_49;1;;
163;b_15;b_41;1;;
164;b_13;b_49;1;;
165;b_48;b_15;1;;
166;b_23;b_28;1;;
167;b_20;b_41;1;;
168;b_45;b_25;1;;
169;b_0;b_23;1;;
170;b_32;b_0;1;;
171;b_30;b_32;1;;
172;b_23;b_37;1;;
173;b_7;b_26;1;;
174;b_37;b_5;1;;
175;b_41;b_38;1;;
176;b_3;b_29;1;;
177;b_10;b_11;1;;
178;b_38;b_35;1;;
179;b_40;b_6;1;;
180;b_19;b_8;1;;
181;b_20;b_10;1;;
182;b_26;b_6;1;;
183;b_49;b_22;1;;
184;b_22;b_3;1;;
185;b_14;b_11;1;;
186;b_27;b_0;1;;
187;b_4;b_28;1;;
188;b_1;b_46;1;;
189;b_21;b_3;1;;
190;b_47;b_38;1;;
191;b_38;b_30;1;;
192;b_5;b_33;1;;
193;b_27;b_4;1;;
194;b_44;b_7;1;;
195;b_32;b_38;1;;
196;b_32;b_14;1;;
197;b_18;b_13;1;;
198;b_28;b_6;1;;
199;b_19;b_15;1;;
200;b_39;b_8;1;;
201;b_46;b_6;1;;
202;b_2;b_44;1;;
203;b_35;b_34;1;;
204;b_17;b_6;1;;
205;b_1;b_25;1;;
206;b_35;b_48;1;;
207;b_3;b_48;1;;
208;b_1;b_47;1;;
209;b_48;b_38;1;;
210;b_35;b_41;1;;
211;b_43;b_38;1;;
212;b_21;b_25;1;;
213;b_15;b_19;1;;
214;b_17;b_40;1;;
215;b_27;b_32;1;;
216;b_12;b_39;1;;
217;b_44;b_28;1;;
218;b_21;b_44;1;;
219;b_20;b_13;1;;
220;b_31;b_6;1;;
221;b_33;b_19;1;;
222;b_26;b_24;1;;
223;b_45;b_20;1;;
224;b_15;b_12;1;;
225;b_44;b_17;1;;
226;b_29;b_12;1;;
227;b_26;b_8;1;;
228;b_42;b_29;1;;
229;b_10;b_33;1;;
230;b_48;b_6;1;;
231;b_42;b_36;1;;
232;b_10;b_44;1;;
233;b_47;b_13;1;;
234;b_11;b_21;1;;
235;b_33;b_16;1;;
236;b_40;b_39;1;;
237;b_13;b_16;1;;
238;b_19;b_13;1;;
239;b_11;b_13;1;;
240;b_13;b_26;1;;
241;b_34;b_38;1;;
242;b_45;b_17;1;;
243;b_48;b_33;1;;
244;b_25;b_17;1;;
245;b_3;b_14;1;;
246;b_26;b_43;1;;
247;b_40;b_33;1;;
248;b_41;b_30;1;;
249;b_46;b_40;1;;
250;b_25;b_45;1;;
251;b_5;b_8;1;;
252;b_6;b_46;1;;
253;b_36;b_40;1;;
254;b_7;b_44;1;;
255;b_36;b_32;1;;
256;b_46;b_4;1;;
257;b_49;b_15;1;;
258;b_34;b_29;1;;
259;b_44;b_24;1;;
260;b_35;b_20;1;;
261;b_4;b_0;1;;
262;b_16;b_33;1;;
263;b_10;b_8;1;;
264;b_9;b_40;1;;
265;b_47;b_46;1;;
266;b_37;b_24;1;;
267;b_28;b_40;1;;
268;b_32;b_18;1;;
