Nr;Start;Ziel;Volumen;Hub1;Hub2
1;b_1;b_23;1;;
2;b_28;b_17;1;;
3;b_41;b_29;1;;
4;b_6;b_30;1;;
5;b_32;b_28;1;;
6;b_46;b_49;1;;
7;b_35;b_19;1;;
8;b_7;b_22;1;;
9;b_36;b_16;1;;
10;b_47;b_31;1;;
11;b_27;b_1;1;;
12;b_14;b_38;1;;
13;b_5;b_31;1;;
14;b_13;b_26;1;;
15;b_14;b_46;1;;
16;b_8;b_16;1;;
17;b_9;b_43;1;;
18;b_10;b_32;1;;
19;b_33;b_0;1;;
20;b_42;b_7;1;;
21;b_27;b_21;1;;
22;b_49;b_3;1;;
23;b_49;b_18;1;;
24;b_19;b_46;1;;
25;b_21;b_25;1;;
26;b_20;b_14;1;;
27;b_49;b_39;1;;
28;b_33;b_29;1;;
29;b_1;b_11;1;;
30;b_31;b_36;1;;
31;b_41;b_17;1;;
32;b_34;b_6;1;;
33;b_11;b_49;1;;
34;b_26;b_27;1;;
35;b_40;b_19;1;;
36;b_41;b_26;1;;
37;b_38;b_42;1;;
38;b_18;b_0;1;;
39;b_23;b_11;1;;
40;b_46;b_41;1;;
41;b_8;b_17;1;;
42;b_41;b_3;1;;
43;b_5;b_12;1;;
44;b_44;b_26;1;;
45;b_12;b_0;1;;
46;b_10;b_49;1;;
47;b_30;b_15;1;;
48;b_49;b_21;1;;
49;b_35;b_37;1;;
50;b_9;b_28;1;;
51;b_29;b_41;1;;
52;b_38;b_46;1;;
53;b_38;b_34;1;;
54;b_33;b_32;1;;
55;b_25;b_11;1;;
56;b_17;b_7;1;;
57;b_6;b_39;1;;
58;b_28;b_35;1;;
59;b_42;b_5;1;;
60;b_46;b_15;1;;
61;b_0;b_37;1;;
62;b_0;b_38;1;;
63;b_8;b_28;1;;
64;b_36;b_38;1;;
65;b_34;b_21;1;;
66;b_27;b_7;1;;
67;b_42;b_15;1;;
68;b_34;b_5;1;;
69;b_46;b_44;1;;
70;b_45;b_49;1;;
71;b_19;b_29;1;;
72;b_11;b_24;1;;
73;b_13;b_42;1;;
74;b_32;b_9;1;;
75;b_3;b_35;1;;
76;b_42;b_45;1;;
77;b_37;b_35;1;;
78;b_10;b_20;1;;
79;b_19;b_35;1;;
80;b_15;b_3;1;;
81;b_49;b_40;1;;
82;b_43;b_22;1;;
83;b_9;b_17;1;;
84;b_11;b_29;1;;
85;b_6;b_3;1;;
86;b_38;b_20;1;;
87;b_2;b_12;1;;
88;b_16;b_15;1;;
89;b_23;b_45;1;;
90;b_45;b_9;1;;
91;b_12;b_31;1;;
92;b_41;b_8;1;;
93;b_2;b_13;1;;
94;b_27;b_6;1;;
95;b_22;b_34;1;;
96;b_5;b_7;1;;
97;b_7;b_20;1;;
98;b_25;b_27;1;;
99;b_48;b_9;1;;
100;b_6;b_9;1;;
101;b_4;b_26;1;;
