Nr;Start;Ziel;Volumen;Hub1;Hub2
1;b_29;b_24;1;;
2;b_49;b_25;1;;
3;b_46;b_31;1;;
4;b_31;b_24;1;;
5;b_29;b_12;1;;
6;b_33;b_3;1;;
7;b_6;b_39;1;;
8;b_4;b_31;1;;
9;b_34;b_16;1;;
10;b_21;b_13;1;;
11;b_6;b_18;1;;
12;b_5;b_4;1;;
13;b_4;b_23;1;;
14;b_42;b_10;1;;
15;b_24;b_48;1;;
16;b_30;b_36;1;;
17;b_5;b_42;1;;
18;b_41;b_8;1;;
19;b_32;b_46;1;;
20;b_23;b_38;1;;
21;b_3;b_8;1;;
22;b_20;b_9;1;;
23;b_34;b_1;1;;
24;b_28;b_42;1;;
25;b_14;b_23;1;;
26;b_19;b_10;1;;
27;b_39;b_15;1;;
28;b_39;b_3;1;;
29;b_13;b_8;1;;
30;b_40;b_26;1;;
31;b_30;b_28;1;;
32;b_47;b_7;1;;
33;b_17;b_26;1;;
34;b_2;b_47;1;;
35;b_21;b_3;1;;
36;b_8;b_26;1;;
37;b_25;b_14;1;;
38;b_15;b_46;1;;
39;b_12;b_31;1;;
40;b_39;b_19;1;;
41;b_25;b_7;1;;
42;b_28;b_24;1;;
43;b_1;b_37;1;;
44;b_11;b_17;1;;
45;b_28;b_22;1;;
46;b_11;b_0;1;;
47;b_47;b_32;1;;
48;b_10;b_48;1;;
49;b_46;b_22;1;;
50;b_43;b_4;1;;
51;b_49;b_5;1;;
52;b_0;b_12;1;;
53;b_49;b_33;1;;
54;b_28;b_27;1;;
55;b_7;b_38;1;;
56;b_6;b_1;1;;
57;b_22;b_28;1;;
58;b_44;b_20;1;;
59;b_48;b_27;1;;
60;b_10;b_29;1;;
61;b_40;b_37;1;;
62;b_4;b_1;1;;
63;b_23;b_49;1;;
64;b_29;b_42;1;;
65;b_7;b_41;1;;
66;b_15;b_13;1;;
67;b_43;b_21;1;;
68;b_25;b_42;1;;
69;b_27;b_1;1;;
70;b_27;b_15;1;;
71;b_21;b_2;1;;
72;b_35;b_25;1;;
73;b_5;b_28;1;;
74;b_1;b_5;1;;
75;b_9;b_6;1;;
76;b_31;b_41;1;;
77;b_43;b_1;1;;
78;b_8;b_29;1;;
79;b_24;b_5;1;;
80;b_45;b_22;1;;
81;b_13;b_38;1;;
82;b_33;b_49;1;;
83;b_17;b_42;1;;
84;b_13;b_34;1;;
85;b_18;b_22;1;;
86;b_5;b_32;1;;
87;b_18;b_32;1;;
88;b_0;b_40;1;;
89;b_18;b_26;1;;
90;b_5;b_18;1;;
91;b_5;b_48;1;;
92;b_9;b_49;1;;
93;b_23;b_37;1;;
94;b_27;b_30;1;;
95;b_22;b_36;1;;
96;b_39;b_5;1;;
97;b_29;b_8;1;;
98;b_24;b_23;1;;
99;b_34;b_30;1;;
100;b_35;b_9;1;;
101;b_15;b_34;1;;
102;b_15;b_0;1;;
103;b_26;b_35;1;;
104;b_8;b_34;1;;
105;b_22;b_7;1;;
106;b_21;b_14;1;;
107;b_18;b_10;1;;
108;b_17;b_40;1;;
109;b_49;b_17;1;;
110;b_38;b_23;1;;
111;b_0;b_1;1;;
112;b_47;b_14;1;;
113;b_18;b_7;1;;
114;b_48;b_39;1;;
115;b_7;b_33;1;;
116;b_42;b_41;1;;
117;b_18;b_19;1;;
118;b_19;b_7;1;;
119;b_4;b_2;1;;
120;b_49;b_27;1;;
121;b_33;b_23;1;;
122;b_25;b_19;1;;
123;b_47;b_49;1;;
124;b_39;b_23;1;;
125;b_47;b_28;1;;
126;b_18;b_35;1;;
