Nr;Start;Ziel;Volumen;Hub1;Hub2
1;b_38;b_35;1;;
2;b_4;b_20;1;;
3;b_28;b_26;1;;
4;b_10;b_31;1;;
5;b_34;b_26;1;;
6;b_25;b_4;1;;
7;b_15;b_48;1;;
8;b_34;b_10;1;;
9;b_38;b_37;1;;
10;b_12;b_20;1;;
11;b_16;b_41;1;;
12;b_25;b_17;1;;
13;b_31;b_2;1;;
14;b_18;b_22;1;;
15;b_4;b_18;1;;
16;b_13;b_3;1;;
17;b_8;b_6;1;;
18;b_41;b_0;1;;
19;b_25;b_12;1;;
20;b_6;b_4;1;;
21;b_4;b_44;1;;
22;b_41;b_8;1;;
23;b_3;b_10;1;;
24;b_44;b_32;1;;
25;b_40;b_27;1;;
26;b_43;b_0;1;;
27;b_25;b_44;1;;
28;b_40;b_31;1;;
29;b_35;b_1;1;;
30;b_39;b_13;1;;
31;b_24;b_13;1;;
32;b_38;b_21;1;;
33;b_1;b_40;1;;
34;b_24;b_31;1;;
35;b_20;b_46;1;;
36;b_4;b_14;1;;
37;b_36;b_23;1;;
38;b_27;b_8;1;;
39;b_6;b_34;1;;
40;b_22;b_12;1;;
41;b_33;b_21;1;;
42;b_0;b_19;1;;
43;b_40;b_20;1;;
44;b_41;b_45;1;;
45;b_8;b_11;1;;
46;b_1;b_0;1;;
47;b_8;b_32;1;;
48;b_20;b_5;1;;
49;b_12;b_40;1;;
50;b_5;b_15;1;;
51;b_13;b_9;1;;
52;b_45;b_43;1;;
53;b_31;b_10;1;;
54;b_8;b_9;1;;
55;b_25;b_13;1;;
56;b_36;b_13;1;;
57;b_28;b_4;1;;
58;b_12;b_25;1;;
59;b_33;b_48;1;;
60;b_3;b_23;1;;
61;b_28;b_7;1;;
62;b_0;b_33;1;;
63;b_3;b_6;1;;
64;b_8;b_14;1;;
65;b_9;b_40;1;;
66;b_34;b_32;1;;
67;b_32;b_17;1;;
68;b_31;b_26;1;;
69;b_23;b_11;1;;
70;b_4;b_6;1;;
71;b_8;b_27;1;;
72;b_8;b_33;1;;
73;b_30;b_45;1;;
74;b_38;b_13;1;;
75;b_24;b_33;1;;
76;b_49;b_28;1;;
77;b_26;b_7;1;;
78;b_3;b_29;1;;
79;b_37;b_17;1;;
80;b_49;b_39;1;;
81;b_13;b_14;1;;
82;b_42;b_35;1;;
83;b_3;b_39;1;;
84;b_21;b_42;1;;
85;b_29;b_2;1;;
86;b_5;b_13;1;;
87;b_36;b_42;1;;
88;b_17;b_33;1;;
89;b_28;b_5;1;;
90;b_39;b_44;1;;
91;b_43;b_1;1;;
92;b_16;b_26;1;;
93;b_24;b_43;1;;
94;b_5;b_45;1;;
95;b_10;b_45;1;;
96;b_7;b_40;1;;
97;b_8;b_38;1;;
98;b_42;b_7;1;;
99;b_34;b_25;1;;
100;b_17;b_39;1;;
101;b_9;b_4;1;;
102;b_46;b_0;1;;
103;b_20;b_0;1;;
104;b_47;b_15;1;;
105;b_11;b_24;1;;
106;b_13;b_16;1;;
107;b_35;b_13;1;;
108;b_2;b_48;1;;
109;b_39;b_16;1;;
110;b_11;b_9;1;;
111;b_1;b_4;1;;
112;b_40;b_29;1;;
113;b_3;b_41;1;;
114;b_12;b_10;1;;
115;b_36;b_30;1;;
116;b_4;b_32;1;;
117;b_13;b_1;1;;
118;b_24;b_28;1;;
119;b_37;b_4;1;;
120;b_45;b_7;1;;
121;b_14;b_44;1;;
122;b_15;b_7;1;;
123;b_35;b_19;1;;
124;b_46;b_36;1;;
125;b_27;b_22;1;;
126;b_45;b_31;1;;
127;b_3;b_22;1;;
128;b_33;b_4;1;;
129;b_16;b_49;1;;
130;b_12;b_15;1;;
131;b_29;b_24;1;;
132;b_31;b_43;1;;
133;b_25;b_40;1;;
134;b_28;b_27;1;;
135;b_14;b_37;1;;
136;b_49;b_16;1;;
137;b_4;b_43;1;;
138;b_46;b_39;1;;
139;b_4;b_9;1;;
140;b_38;b_18;1;;
141;b_29;b_37;1;;
142;b_33;b_37;1;;
143;b_20;b_43;1;;
144;b_0;b_4;1;;
145;b_16;b_18;1;;
146;b_12;b_17;1;;
147;b_47;b_21;1;;
148;b_19;b_48;1;;
149;b_4;b_47;1;;
150;b_48;b_49;1;;
151;b_0;b_20;1;;
152;b_49;b_4;1;;
153;b_2;b_36;1;;
154;b_19;b_10;1;;
155;b_23;b_8;1;;
156;b_49;b_19;1;;
157;b_8;b_16;1;;
158;b_38;b_9;1;;
159;b_3;b_27;1;;
160;b_19;b_22;1;;
161;b_19;b_9;1;;
162;b_6;b_16;1;;
163;b_40;b_28;1;;
164;b_7;b_24;1;;
165;b_48;b_44;1;;
166;b_16;b_35;1;;
167;b_40;b_12;1;;
168;b_36;b_7;1;;
169;b_29;b_47;1;;
170;b_2;b_41;1;;
171;b_43;b_12;1;;
172;b_25;b_6;1;;
173;b_46;b_16;1;;
174;b_45;b_11;1;;
175;b_49;b_26;1;;
176;b_16;b_46;1;;
177;b_40;b_6;1;;
178;b_20;b_47;1;;
179;b_13;b_27;1;;
180;b_12;b_8;1;;
181;b_24;b_8;1;;
182;b_17;b_22;1;;
183;b_49;b_41;1;;
184;b_3;b_48;1;;
185;b_22;b_1;1;;
186;b_5;b_16;1;;
187;b_18;b_21;1;;
188;b_23;b_20;1;;
189;b_49;b_1;1;;
190;b_47;b_31;1;;
191;b_46;b_34;1;;
192;b_45;b_10;1;;
193;b_19;b_31;1;;
194;b_26;b_31;1;;
195;b_30;b_10;1;;
